"gene","pvalue","q_fdr","p_bonf"
"WBGene00015089",1.31e-18,1.97617396184063e-17,3.521542e-14
"WBGene00010574",1.43e-18,2.15598766124509e-17,3.844126e-14
"WBGene00021931",1.49e-18,2.24518946188341e-17,4.005418e-14
"WBGene00012638",1.62e-18,2.43971092436975e-17,4.354884e-14
"WBGene00020149",1.87e-18,2.8146326987682e-17,5.026934e-14
"WBGene00007307",1.88e-18,2.82810072747622e-17,5.053816e-14
"WBGene00021007",2.19e-18,3.29259395973154e-17,5.887158e-14
"WBGene00015028",2.26e-18,3.39593739519285e-17,6.075332e-14
"WBGene00044205",2.36e-18,3.54421899441341e-17,6.344152e-14
"WBGene00000620",2.63e-18,3.9474963707426e-17,7.069966e-14
"WBGene00003434",2.76e-18,4.14030803571429e-17,7.419432e-14
"WBGene00004226",2.89e-18,4.33290462911322e-17,7.768898e-14
"WBGene00016805",2.9e-18,4.34547380156076e-17,7.79578e-14
"WBGene00014169",3.08e-18,4.6126217270195e-17,8.279656e-14
"WBGene00044388",3.64e-18,5.44824498886414e-17,9.785048e-14
"WBGene00003765",3.9e-18,5.83415692821369e-17,1.048398e-13
"WBGene00016106",4.99e-18,7.46057730812013e-17,1.3414118e-13
"WBGene00011968",5.11e-18,7.63574319066148e-17,1.3736702e-13
"WBGene00017716",5.4e-18,8.0646e-17,1.451628e-13
"WBGene00003435",5.65e-18,8.43327595780122e-17,1.518833e-13
"WBGene00044662",6.25e-18,9.32366814650389e-17,1.680125e-13
"WBGene00006038",7.88e-18,1.17487609539656e-16,2.1183016e-13
"WBGene00022708",8.09e-18,1.20551762749446e-16,2.1747538e-13
"WBGene00019761",8.39e-18,1.24952897506925e-16,2.2553998e-13
"WBGene00011055",8.95e-18,1.33219213732004e-16,2.405939e-13
"WBGene00010679",9.57e-18,1.42368976203652e-16,2.5726074e-13
"WBGene00016161",1e-17,1.48683628318584e-16,2.6882e-13
"WBGene00000684",1.02e-17,1.51573466003317e-16,2.741964e-13
"WBGene00007714",1.07e-17,1.58915690607735e-16,2.876374e-13
"WBGene00000733",1.48e-17,2.19687244616234e-16,3.978536e-13
